     94088	         0	        81
    239592	         0	        83
    321852	        96	        96
    389089	        97	        97
    515128	        82	         0
    662636	        81	         3
    697400	        83	         0
    704587	        82	         1
    865101	        97	        97
    885490	        80	         2
    948252	        99	        99
   1161167	        96	        96
   1282299	        80	         3
   1352881	         1	        83
   1397685	        96	        96
   1464398	         1	        82
   1581426	         3	        82
   1895333	         3	        82
   1909259	        83	         2
   1959951	        97	        97
